,hhno,id,pagey,pdiary,pgend,pno,ppaidprk,pproxy,pptyp,psaudist,psautime,psexpfac,pspcl,pstaz,pstyp,ptpass,puwarrp,puwdepp,puwmode,pwaudist,pwautime,pwpcl,pwtaz,pwtyp,year
6666,31116,,45,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,326.54,-1,-1,Not a Student,0,After 9 am,Between 3:30 and 4 pm,Drive Alone,13.97,44.47,22842,1671,Paid Part-Time Worker,2006
6667,31116,,44,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,326.54,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6668,31116,,16,1,Female,3,-1,No Proxy,High School Student Age 16+,2.21,10.83,326.54,135749,1897,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6669,31116,,12,1,Female,4,-1,No Proxy,Child Age 5-15,7.47,18.89,326.54,159471,1919,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6670,31116,,8,1,Male,5,-1,No Proxy,Child Age 5-15,2.21,10.83,326.54,91202,1897,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6671,31118,,41,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,337.08,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6672,31118,,41,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,337.08,-1,-1,Not a Student,0,,,,10.44,31.11,778231,3364,Paid Full-Time Worker,2006
6673,31118,,10,1,Female,3,-1,,Child Age 5-15,2.87,12.18,337.08,775540,3377,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6674,31118,,9,1,Male,4,-1,,Child Age 5-15,2.87,12.18,337.08,775540,3377,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6675,31119,,43,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,157.71,-1,-1,Not a Student,0,None 4+ Days/Week,None 4+ Days/Week,Drive Alone,16.18,38.22,1145208,2309,Paid Full-Time Worker,2006
6676,31137,,80,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,291.7,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6677,31146,,40,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,422.16,-1,-1,Not a Student,0,,,,1.25,9.35,224976,1550,Paid Full-Time Worker,2006
6678,31146,,39,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,422.16,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6679,31146,,5,1,Male,3,-1,,Child Age 5-15,1.18,6.43,422.16,328226,1602,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6680,31146,,2,1,Female,4,-1,,Child Age 0-4,-1.0,-1.0,422.16,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6681,31186,,40,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,124.16,-1,-1,Not a Student,1,,,,8.23,32.93,519459,630,Paid Full-Time Worker,2006
6682,31186,,47,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,124.16,-1,-1,Not a Student,1,,,,8.78,34.36,464067,655,Paid Full-Time Worker,2006
6683,31228,,39,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,675.75,-1,-1,Not a Student,0,Before 6 am,Before 3:30 pm,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6684,31228,,35,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,675.75,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6685,31228,,4,1,Female,3,-1,No Proxy,Child Age 0-4,4.35,13.81,675.75,878377,3430,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6686,31228,,4,1,Female,4,-1,No Proxy,Child Age 0-4,4.35,13.81,675.75,878377,3430,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6687,31231,,48,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,155.45,-1,-1,Not a Student,0,Between 7:30 and 8 am,None 4+ Days/Week,Walk,3.08,14.36,463953,656,Paid Full-Time Worker,2006
6688,31251,,61,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,159.4,-1,-1,Not a Student,1,Between 6:30 and 7 am,Between 4 and 4:30 pm,Walk to Transit,17.18,58.92,59017,529,Paid Part-Time Worker,2006
6689,31251,,64,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,159.4,-1,-1,Not a Student,1,Between 7 and 7:30 am,Between 3:30 and 4 pm,Walk to Transit,17.18,58.92,59017,529,Paid Full-Time Worker,2006
6690,31265,,68,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,306.11,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6691,31265,,62,1,Female,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,306.11,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6692,31287,,53,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,149.22,-1,-1,Not a Student,1,Between 6 and 6:30 am,Before 3:30 pm,Shared Ride 2,20.91,47.04,281756,704,Paid Full-Time Worker,2006
6693,31289,,37,1,Female,1,-1,,Full-Time Worker,16.55,35.88,226.76,1158069,2252,Part-Time Student,0,,,Walk to Transit,20.65,62.05,519459,630,Paid Full-Time Worker,2006
6694,31289,,40,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,226.76,-1,-1,Not a Student,0,,,,6.79,26.6,1145265,2309,Paid Full-Time Worker,2006
6695,31289,,12,1,Male,3,-1,No Proxy,Child Age 5-15,1.38,6.7,226.76,1013451,2507,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6696,31294,,46,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,564.18,-1,-1,Not a Student,0,Between 8:30 and 9 am,Between 3:30 and 4 pm,Drive Alone,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6697,31294,,48,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,564.18,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6698,31294,,14,1,Female,3,-1,No Proxy,Child Age 5-15,7.5,16.77,564.18,699314,2713,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6699,31298,,43,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,106.85,-1,-1,Not a Student,0,,,,17.43,38.18,7416,1025,Paid Full-Time Worker,2006
6700,31298,,18,1,Female,2,-1,,High School Student Age 16+,0.58,6.41,106.85,31466,588,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6701,31301,,33,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,261.22,-1,-1,Not a Student,0,,,Drive Alone,3.32,12.61,228930,1718,Paid Full-Time Worker,2006
6702,31301,,42,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,261.22,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6703,31306,,48,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,281.17,-1,-1,Not a Student,0,Between 6:30 and 7 am,None 4+ Days/Week,Walk,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6704,31306,,55,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,281.17,-1,-1,Not a Student,0,None 4+ Days/Week,Between 4:30 and 5 pm,Drive Alone,10.94,28.12,1177780,2145,Paid Full-Time Worker,2006
6705,31311,,26,1,Female,1,-1,,University Student,2.87,14.87,332.96,1158069,2252,Part-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6706,31311,,29,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,332.96,-1,-1,Not a Student,0,,,,21.56,47.94,219443,1717,Paid Full-Time Worker,2006
6707,31311,,6,1,Female,3,-1,No Proxy,Child Age 5-15,18.37,40.85,332.96,411588,1795,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6708,31311,,5,1,Male,4,-1,No Proxy,Child Age 5-15,15.47,33.18,332.96,1137951,2666,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6709,31319,,64,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,79.89,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6710,31332,,44,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,304.85,-1,-1,Not a Student,0,Between 7 and 7:30 am,None 4+ Days/Week,Bike,0.48,6.29,988377,2282,Paid Full-Time Worker,2006
6711,31333,,34,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,361.57,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6712,31333,,50,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,361.57,-1,-1,Not a Student,0,,,,22.64,65.16,233730,803,Paid Full-Time Worker,2006
6713,31333,,9,1,Female,3,-1,No Proxy,Child Age 5-15,5.68,21.29,361.57,1131281,2641,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6714,31333,,7,1,Female,4,-1,No Proxy,Child Age 5-15,5.68,21.29,361.57,1131281,2641,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6715,31333,,5,1,Male,5,-1,No Proxy,Child Age 5-15,5.68,21.29,361.57,1131281,2641,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6716,31333,,4,1,Female,6,-1,No Proxy,Child Age 0-4,-1.0,-1.0,361.57,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6717,31333,,2,1,Female,7,-1,No Proxy,Child Age 0-4,-1.0,-1.0,361.57,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6718,31333,,1,1,Male,8,-1,No Proxy,Child Age 0-4,-1.0,-1.0,361.57,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6719,31345,,36,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,256.11,-1,-1,Not a Student,0,Between 8 and 8:30 am,Between 5 and 5:30 pm,None 4+ Days/Week,0.94,11.22,148951,443,Paid Full-Time Worker,2006
6720,31355,,53,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,225.37,-1,-1,Not a Student,0,,,Drive Alone,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6721,31355,,58,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,225.37,-1,-1,Not a Student,0,,,,75.32,141.16,822366,3153,Paid Full-Time Worker,2006
6722,31357,,47,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,1098.52,-1,-1,Not a Student,1,,,None 4+ Days/Week,2.29,12.49,473702,1352,Paid Part-Time Worker,2006
6723,31365,,30,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,214.68,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6724,31365,,32,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,214.68,-1,-1,Not a Student,0,,,,3.54,14.58,1130276,2636,Paid Full-Time Worker,2006
6725,31365,,1,1,Male,3,-1,,Child Age 0-4,-1.0,-1.0,214.68,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6726,31402,,41,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,828.52,-1,-1,Not a Student,0,,,Drive Alone,20.0,58.37,1500004,3357,Paid Full-Time Worker,2006
6727,31402,,45,1,Male,2,-1,No Proxy,Full-Time Worker,47.67,100.83,828.52,63948,1512,Part-Time Student,0,,,,34.65,75.18,151548,1246,Paid Full-Time Worker,2006
6728,31402,,2,1,Male,3,-1,No Proxy,Child Age 0-4,-1.0,-1.0,828.52,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6729,31417,,46,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,256.11,-1,-1,Not a Student,1,Between 6:30 and 7 am,Between 3:30 and 4 pm,Walk to Transit,4.25,13.15,41294,497,Paid Full-Time Worker,2006
6730,31425,,46,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,137.71,-1,-1,Not a Student,0,,,,9.33,29.9,117164,709,Paid Full-Time Worker,2006
6731,31425,,41,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,137.71,-1,-1,Not a Student,0,,,,14.29,34.89,432808,1653,Paid Full-Time Worker,2006
6732,31438,,53,1,Male,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,224.61,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6733,31438,,51,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,224.61,-1,-1,Not a Student,0,,,,4.88,20.6,746718,3284,Paid Full-Time Worker,2006
6734,31443,,48,1,Female,1,-1,,Part-Time Worker,36.3,82.21,686.99,246356,585,Part-Time Student,0,Between 7:30 and 8 am,Before 3:30 pm,Shared Ride 2,3.56,18.08,694277,2827,Paid Part-Time Worker,2006
6735,31443,,58,1,Male,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,686.99,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6736,31443,,17,1,Female,3,-1,No Proxy,High School Student Age 16+,-1.0,-1.0,686.99,0,-1,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6737,31444,,58,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,232.87,-1,-1,Not a Student,0,,,,14.91,45.17,741334,3130,Paid Full-Time Worker,2006
6738,31472,,48,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,640.14,-1,-1,Not a Student,0,Before 6 am,Before 3:30 pm,Walk,0.54,4.0,1131803,2577,Paid Full-Time Worker,2006
6739,31472,,14,1,Male,2,-1,No Proxy,Child Age 5-15,2.32,12.14,640.14,1051066,2596,Full-Time Student,1,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6740,31478,,80,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,161.46,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6741,31478,,78,1,Male,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,161.46,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6742,31513,,58,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,355.93,-1,-1,Not a Student,0,,,Drive Alone,9.09,18.51,370832,1053,Paid Full-Time Worker,2006
6743,31513,,59,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,355.93,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6744,31547,,46,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,484.04,-1,-1,Not a Student,0,Before 6 am,None 4+ Days/Week,Drive Alone,10.77,25.51,1157411,2249,Paid Full-Time Worker,2006
6745,31547,,41,1,Female,2,-1,,Part-Time Worker,-1.0,-1.0,484.04,-1,-1,Not a Student,0,None 4+ Days/Week,Before 3:30 pm,Shared Ride 2,2.35,9.16,1177866,2143,Paid Part-Time Worker,2006
6746,31547,,15,1,Female,3,-1,Proxy,Child Age 5-15,2.35,9.16,484.04,1177866,2143,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6747,31563,,35,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,77.48,-1,-1,Not a Student,0,,,,14.0,34.41,468014,1630,Paid Full-Time Worker,2006
6748,31565,,40,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,295.9,-1,-1,Not a Student,0,Between 7:30 and 8 am,None 4+ Days/Week,Drive Alone,-1.0,-1.0,-1,-1,Paid Part-Time Worker,2006
6749,31566,,34,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,365.06,-1,-1,Not a Student,0,Between 8:30 and 9 am,Between 4 and 4:30 pm,Drive Alone,24.91,238.58,827212,3184,Paid Part-Time Worker,2006
6750,31566,,30,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,365.06,-1,-1,Not a Student,0,,,,54.9,299.82,463535,518,Paid Full-Time Worker,2006
6751,31566,,2,1,Male,3,-1,No Proxy,Child Age 0-4,-1.0,-1.0,365.06,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6752,31566,,1,1,Female,4,-1,No Proxy,Child Age 0-4,-1.0,-1.0,365.06,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6753,31569,,61,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,293.3,-1,-1,Not a Student,0,,,Drive Alone,5.38,22.3,762272,2808,Paid Part-Time Worker,2006
6754,31571,,37,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,245.5,-1,-1,Not a Student,0,None 4+ Days/Week,Between 4:30 and 5 pm,Shared Ride 2,15.95,37.12,151037,1136,Paid Full-Time Worker,2006
6755,31571,,38,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,245.5,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6756,31571,,16,1,Male,3,-1,No Proxy,High School Student Age 16+,4.08,18.69,245.5,799448,3191,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6757,31571,,10,1,Male,4,-1,No Proxy,Child Age 5-15,4.96,20.53,245.5,921133,3189,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6758,31571,,5,1,Female,5,-1,No Proxy,Child Age 5-15,4.96,20.53,245.5,921133,3189,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6759,31571,,2,1,Male,6,-1,No Proxy,Child Age 0-4,-1.0,-1.0,245.5,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6760,31571,,0,1,Female,7,-1,No Proxy,Child Age 0-4,-1.0,-1.0,245.5,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6761,31599,,64,1,Male,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,-1.0,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6762,31599,,66,1,Female,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,-1.0,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6763,31612,,68,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,218.03,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6764,31612,,74,1,Male,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,218.03,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6765,31622,,54,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,304.85,-1,-1,Not a Student,0,,,,3.96,16.04,273202,1871,Paid Part-Time Worker,2006
6766,31630,,30,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,406.12,-1,-1,Not a Student,0,,,,10.99,24.37,1147673,2388,Paid Full-Time Worker,2006
6767,31630,,29,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,406.12,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6768,31630,,1,1,Female,3,-1,,Child Age 0-4,-1.0,-1.0,406.12,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6769,31637,,27,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,311.6,-1,-1,Not a Student,1,,,,8.26,30.5,59028,521,Paid Full-Time Worker,2006
6770,31639,,52,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,124.16,-1,-1,Not a Student,0,,,Walk,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6771,31639,,50,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,124.16,-1,-1,Not a Student,0,,,,6.96,29.11,147857,515,Paid Full-Time Worker,2006
6772,31641,,28,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,1106.49,-1,-1,Not a Student,1,None 4+ Days/Week,Between 5 and 5:30 pm,Shared Ride 3+,1.59,10.32,210250,244,Paid Full-Time Worker,2006
6773,31651,,59,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,122.24,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6774,31651,,52,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,122.24,-1,-1,Not a Student,0,Between 8 and 8:30 am,Between 5 and 5:30 pm,Drive Alone,2.78,16.35,361216,629,Paid Full-Time Worker,2006
6775,31651,,25,1,Male,3,-1,,Full-Time Worker,-1.0,-1.0,122.24,-1,-1,Not a Student,1,Between 6:30 and 7 am,Before 3:30 pm,Shared Ride 3+,5.71,25.64,42712,446,Paid Full-Time Worker,2006
6776,31657,,60,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,148.52,-1,-1,Not a Student,0,,,Walk,0.19,4.76,30963,275,Paid Full-Time Worker,2006
6777,31657,,57,1,Female,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,148.52,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6778,31657,,28,1,Female,3,-1,No Proxy,Full-Time Worker,-1.0,-1.0,148.52,-1,-1,Not a Student,0,,,,14.11,29.76,279134,817,Paid Full-Time Worker,2006
6779,31657,,22,1,Male,4,-1,No Proxy,University Student,-1.0,-1.0,148.52,0,-1,Full-Time Student,0,,,,1.39,11.69,74320,305,Paid Part-Time Worker,2006
6780,31658,,51,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,140.52,-1,-1,Not a Student,0,,,Drive Alone,35.28,77.99,1145265,2309,Paid Full-Time Worker,2006
6781,31658,,45,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,140.52,-1,-1,Not a Student,0,,,Drive Alone,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6782,31658,,10,1,Female,3,-1,Proxy,Child Age 5-15,3.69,15.42,140.52,189509,837,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6783,31658,,9,1,Female,4,-1,Proxy,Child Age 5-15,3.69,15.42,140.52,189509,837,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6784,31684,,61,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,350.06,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6785,31684,,61,1,Male,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,350.06,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6786,31711,,49,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,513.51,-1,-1,Not a Student,0,Between 8 and 8:30 am,Before 3:30 pm,Drive Alone,-1.0,-1.0,-1,-1,Paid Part-Time Worker,2006
6787,31711,,25,1,Male,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,513.51,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6788,31711,,55,1,Male,3,-1,No Proxy,Full-Time Worker,-1.0,-1.0,513.51,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6789,31711,,51,1,Female,4,-1,No Proxy,Part-Time Worker,-1.0,-1.0,513.51,-1,-1,Not a Student,1,,,,14.44,44.9,846304,3400,Paid Part-Time Worker,2006
6790,31711,,18,1,Female,5,-1,No Proxy,High School Student Age 16+,-1.0,-1.0,513.51,-1,-1,Not a Student,1,,,,4.05,18.33,700136,2754,Paid Part-Time Worker,2006
6791,31738,,51,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,347.98,-1,-1,Not a Student,1,Between 7 and 7:30 am,Between 4:30 and 5 pm,Walk to Transit,20.25,57.18,41063,505,Paid Full-Time Worker,2006
6792,31738,,53,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,347.98,-1,-1,Not a Student,0,,,,22.17,67.78,210372,256,Paid Full-Time Worker,2006
6793,31745,,56,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,304.52,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6794,31747,,40,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,409.95,0,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6795,31747,,43,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,409.95,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6796,31747,,4,1,Male,3,-1,No Proxy,Child Age 0-4,-1.0,-1.0,409.95,-1,-1,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6797,31757,,44,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,347.98,-1,-1,Not a Student,0,,,,16.35,45.85,424461,1796,Paid Full-Time Worker,2006
6798,31757,,47,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,347.98,-1,-1,Not a Student,0,,,,24.0,54.18,961248,2524,Paid Full-Time Worker,2006
6799,31770,,34,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,273.54,-1,-1,Not a Student,1,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
6800,31770,,34,1,Female,2,-1,,Part-Time Worker,-1.0,-1.0,273.54,-1,-1,Not a Student,0,,,,25.77,43.7,783984,3240,Paid Part-Time Worker,2006
6801,31770,,4,1,Female,3,-1,,Child Age 0-4,1.03,7.2,273.54,133877,936,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6802,31770,,2,1,Male,4,-1,,Child Age 0-4,-1.0,-1.0,273.54,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6803,31776,,52,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,350.72,-1,-1,Not a Student,0,Before 6 am,Between 4:30 and 5 pm,Drive Alone,24.24,44.48,885989,3218,Paid Full-Time Worker,2006
6804,31776,,53,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,350.72,-1,-1,Not a Student,0,,,,31.25,84.69,450798,339,Paid Full-Time Worker,2006
6805,31776,,18,1,Male,3,-1,No Proxy,University Student,35.03,59.42,350.72,63948,1512,Full-Time Student,1,,,,11.34,40.33,469081,1052,Paid Part-Time Worker,2006
6806,31799,,44,1,Female,1,-1,Proxy,Non-Working Adult Age <65,-1.0,-1.0,369.7,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
6807,31799,,40,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,369.7,-1,-1,Not a Student,1,None 4+ Days/Week,None 4+ Days/Week,Drive Alone,11.5,49.72,155983,383,Paid Full-Time Worker,2006
